dataset,id,n,plugin,cs,cs-hybrid,NumSets,gt,ueigv,hybrid-alphabet,snne,kle,predictive,surprise,oracle,best-guess,judge-llm-score
hotpot_qa_final,1851,5,-0.0,,0.09137756132466592,,,,,,,,,0.137186003263752,,
hotpot_qa_final,1851,10,0.3250829733914482,,0.5256149754034921,,,,,,,0.13395732485009307,,0.137186003263752,,
hotpot_qa_final,1851,25,0.167944147734173,,0.31299654715548614,,,,,,,,,0.137186003263752,,
hotpot_qa_final,1851,50,0.098039113279732,,0.226126944709014,,,,,,,,,0.137186003263752,,
hotpot_qa_final,1851,75,0.07081055490819625,,0.18020345474580174,,,,,,,,,0.137186003263752,,
hotpot_qa_final,1851,100,0.19043755351892533,,0.2685553382477756,,,,,,,,,0.137186003263752,,
hotpot_qa_final,1852,5,-0.0,,0.17899740580796714,,,,,,,,,-0.0,,
hotpot_qa_final,1852,10,-0.0,,0.1770375818225375,,,,,,,0.09183733334557229,,-0.0,,
hotpot_qa_final,1852,25,-0.0,,0.20191354945822643,,,,,,,,,-0.0,,
hotpot_qa_final,1852,50,-0.0,,0.20188484241284316,,,,,,,,,-0.0,,
hotpot_qa_final,1852,75,-0.0,,0.22279232889816852,,,,,,,,,-0.0,,
hotpot_qa_final,1852,100,-0.0,,0.23430061149988118,,,,,,,,,-0.0,,
hotpot_qa_final,1853,5,-0.0,,0.2611226386383474,,,,,,,,,1.0676407166615383,,
hotpot_qa_final,1853,10,-0.0,,0.24518213846507,,,,,,,0.10254386559911488,,1.0676407166615383,,
hotpot_qa_final,1853,25,0.2787693717685874,,0.3074671908978172,,,,,,,,,1.0676407166615383,,
hotpot_qa_final,1853,50,0.8135904788601619,,0.8408736893585034,,,,,,,,,1.0676407166615383,,
hotpot_qa_final,1853,75,1.0582772327624188,,1.1059695707606683,,,,,,,,,1.0676407166615383,,
hotpot_qa_final,1853,100,1.1111248015371795,,1.1611008968015788,,,,,,,,,1.0676407166615383,,
hotpot_qa_final,1854,5,-0.0,,0.29751009942325485,,,,,,,,,0.5509248719088385,,
hotpot_qa_final,1854,10,-0.0,,0.3427485077311144,,,,,,,0.3534795481225611,,0.5509248719088385,,
hotpot_qa_final,1854,25,-0.0,,0.3671358257838076,,,,,,,,,0.5509248719088385,,
hotpot_qa_final,1854,50,0.2787693717685874,,0.4766946603678629,,,,,,,,,0.5509248719088385,,
hotpot_qa_final,1854,75,0.5004024235381879,,0.6058667186921969,,,,,,,,,0.5509248719088385,,
hotpot_qa_final,1854,100,0.5269079614313803,,0.6230297191136964,,,,,,,,,0.5509248719088385,,
hotpot_qa_final,1855,5,-0.0,,0.16343875099959368,,,,,,,,,-0.0,,
hotpot_qa_final,1855,10,-0.0,,0.25911783228739804,,,,,,,0.122019840006616,,-0.0,,
hotpot_qa_final,1855,25,-0.0,,0.2827111294506579,,,,,,,,,-0.0,,
hotpot_qa_final,1855,50,-0.0,,0.3002734732447496,,,,,,,,,-0.0,,
hotpot_qa_final,1855,75,-0.0,,0.31090046022677587,,,,,,,,,-0.0,,
hotpot_qa_final,1855,100,-0.0,,0.3125878143381584,,,,,,,,,-0.0,,
hotpot_qa_final,1856,5,0.6730116670092565,,0.7070860020527115,,,,,,,,,0.6702891014510198,,
hotpot_qa_final,1856,10,0.6108643020548935,,0.6213651327154892,,,,,,,0.06206826344310804,,0.6702891014510198,,
hotpot_qa_final,1856,25,0.8199696830860377,,0.9016956321186075,,,,,,,,,0.6702891014510198,,
hotpot_qa_final,1856,50,0.7170996237435391,,0.768146996447647,,,,,,,,,0.6702891014510198,,
hotpot_qa_final,1856,75,0.8033149761408755,,0.8043424918462878,,,,,,,,,0.6702891014510198,,
hotpot_qa_final,1856,100,0.7560597023086921,,0.7569518000223964,,,,,,,,,0.6702891014510198,,
hotpot_qa_final,1857,5,0.5004024235381879,,0.7913473065443453,,,,,,,,,0.7836275362681946,,
hotpot_qa_final,1857,10,0.3250829733914482,,0.5256149754034921,,,,,,,0.3194767375988338,,0.7836275362681946,,
hotpot_qa_final,1857,25,0.4433066914680872,,0.5710294551251316,,,,,,,,,0.7836275362681946,,
hotpot_qa_final,1857,50,0.8325318664442389,,0.8517516993190322,,,,,,,,,0.7836275362681946,,
hotpot_qa_final,1857,75,0.9000382757343017,,0.9004276792672994,,,,,,,,,0.7836275362681946,,
hotpot_qa_final,1857,100,0.8229537068173471,,0.8233012934664424,,,,,,,,,0.7836275362681946,,
hotpot_qa_final,1858,5,0.5004024235381879,,0.7913473065443453,,,,,,,,,1.8390398465728,,
hotpot_qa_final,1858,10,0.9404479886553263,,1.4321779277709004,,,,,,,0.20825674951618917,,1.8390398465728,,
hotpot_qa_final,1858,25,1.1418572655728578,,1.1755755236827785,,,,,,,,,1.8390398465728,,
hotpot_qa_final,1858,50,1.4136557868792714,,1.4219648687731452,,,,,,,,,1.8390398465728,,
hotpot_qa_final,1858,75,1.5153856519924098,,1.524326628319621,,,,,,,,,1.8390398465728,,
hotpot_qa_final,1858,100,1.895343086453259,,1.9165681679477435,,,,,,,,,1.8390398465728,,
hotpot_qa_final,1859,5,0.5004024235381879,,0.7913473065443453,,,,,,,,,1.3551432880331464,,
hotpot_qa_final,1859,10,0.8979457248567797,,1.0572078765976465,,,,,,,0.18730567123249275,,1.3551432880331464,,
hotpot_qa_final,1859,25,1.0852453296585771,,1.142737663518123,,,,,,,,,1.3551432880331464,,
hotpot_qa_final,1859,50,1.039353798480727,,1.0417874925222472,,,,,,,,,1.3551432880331464,,
hotpot_qa_final,1859,75,1.2067623325317731,,1.2134786388154994,,,,,,,,,1.3551432880331464,,
hotpot_qa_final,1859,100,1.3771332839408608,,1.3774811857983456,,,,,,,,,1.3551432880331464,,
hotpot_qa_final,1860,5,1.3321790402101223,,2.2820500089392226,,,,,,,,,1.7957698194444365,,
hotpot_qa_final,1860,10,1.3661588475692017,,1.4561445721405022,,,,,,,0.21428633586041634,,1.7957698194444365,,
hotpot_qa_final,1860,25,1.355161622109057,,1.4509702265213065,,,,,,,,,1.7957698194444365,,
hotpot_qa_final,1860,50,1.5954924164209037,,1.6040213256843192,,,,,,,,,1.7957698194444365,,
hotpot_qa_final,1860,75,1.7513077616816326,,1.7870707215107648,,,,,,,,,1.7957698194444365,,
hotpot_qa_final,1860,100,1.8226935821042192,,1.8527827756561224,,,,,,,,,1.7957698194444365,,
hotpot_qa_final,1861,5,-0.0,,0.24546601071574217,,,,,,,,,0.49948337182335334,,
hotpot_qa_final,1861,10,-0.0,,0.2269072546496283,,,,,,,0.09973691947195178,,0.49948337182335334,,
hotpot_qa_final,1861,25,-0.0,,0.3100141243431857,,,,,,,,,0.49948337182335334,,
hotpot_qa_final,1861,50,-0.0,,0.3421590790997447,,,,,,,,,0.49948337182335334,,
hotpot_qa_final,1861,75,0.1229569993369445,,0.216303486996809,,,,,,,,,0.49948337182335334,,
hotpot_qa_final,1861,100,0.5020040903423308,,0.5022668084809012,,,,,,,,,0.49948337182335334,,
